Name,URL,Category,Description,ValidURL
Occupational Personality Questionnaire (OPQ),https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,Personality & Behavior,We recommend upgrading to a modern browser.,True
Job-Focused Assessments (JFA),https://www.shl.com/products/assessments/job-focused-assessments/,Other,We recommend upgrading to a modern browser.,True
Motivational Questionnaire (MQ),https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,Other,We recommend upgrading to a modern browser.,True
Situational Judgment Tests (SJT),https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,Other,We recommend upgrading to a modern browser.,True
SHL Verify,https://www.shl.com/products/assessments/cognitive-assessments/,Other,We recommend upgrading to a modern browser.,True
Assessments,https://www.shl.com/products/assessments/,Other,We recommend upgrading to a modern browser.,True
Behavioral Assessments,https://www.shl.com/products/assessments/behavioral-assessments/,Personality & Behavior,We recommend upgrading to a modern browser.,True
Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/,Personality & Behavior,We recommend upgrading to a modern browser.,True
Skills & Simulations,https://www.shl.com/products/assessments/skills-and-simulations/,Knowledge & Skills,We recommend upgrading to a modern browser.,True
Call Center Simulations,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/,Other,We recommend upgrading to a modern browser.,True
Business Skills,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/,Knowledge & Skills,We recommend upgrading to a modern browser.,True
Coding Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,Coding,We recommend upgrading to a modern browser.,True
Technical Skills,https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,Knowledge & Skills,We recommend upgrading to a modern browser.,True
Language Evaluation,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,Language,We recommend upgrading to a modern browser.,True
Outsourced Assessments (VADC),https://www.shl.com/products/assessments/assessment-and-development-centers/,Other,We recommend upgrading to a modern browser.,True
